type,problem_id,step_id,status,error_reason,total_steps,sanity_passed_steps,solved_steps,original_verification_pass,synthesized_verification_pass,decomposition_success,all_sanity_steps_have_tactic_success,sanity_check_pass,hole_verification_pass,filled_verification_pass,has_tactic_success,unigram_solved,norm_num,linarith,nlinarith,omega,ring,ring_nf,simp,simpa,field_simp
PROBLEM_OVERVIEW,aime_2024i_p2,OVERVIEW,ERROR,Decomposition failed for problem aime_2024i_p2 - no steps generated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
PROBLEM_OVERVIEW,aime_2024i_p7,OVERVIEW,ERROR,Decomposition failed for problem aime_2024i_p7 - no steps generated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
PROBLEM_OVERVIEW,aime_2024i_p13,OVERVIEW,SUCCESS,,13.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,
STEP_DETAIL,aime_2024i_p13,step_0001,,,,,,,,,,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
STEP_DETAIL,aime_2024i_p13,step_0002,,,,,,,,,,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
STEP_DETAIL,aime_2024i_p13,step_0003,,,,,,,,,,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
STEP_DETAIL,aime_2024i_p13,step_0004,,,,,,,,,,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
STEP_DETAIL,aime_2024i_p13,step_0005,,,,,,,,,,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
STEP_DETAIL,aime_2024i_p13,step_0006,,,,,,,,,,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
STEP_DETAIL,aime_2024i_p13,step_0007,,,,,,,,,,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
